# This file was produced by samtools stats (1.21+htslib-1.21) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats ../sequenceFile/my_aln_sorted.filtered.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	70508282	7ba76387	9def5b80
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	1050657	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	1050657
SN	is sorted:	1
SN	1st fragments:	525403
SN	last fragments:	525254
SN	reads mapped:	1050657
SN	reads mapped and paired:	1050657	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	1050657	# proper-pair bit set
SN	reads paired:	1050657	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	6
SN	total length:	130386479	# ignores clipping
SN	total first fragment length:	64613269	# ignores clipping
SN	total last fragment length:	65773210	# ignores clipping
SN	bases mapped:	130386479	# ignores clipping
SN	bases mapped (cigar):	127320270	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	4288514	# from NM fields
SN	error rate:	3.368288e-02	# mismatches / bases mapped (cigar)
SN	average length:	124
SN	average first fragment length:	123
SN	average last fragment length:	125
SN	maximum length:	151
SN	maximum first fragment length:	151
SN	maximum last fragment length:	151
SN	average quality:	35.6
SN	insert size average:	156.8
SN	insert size standard deviation:	28.5
SN	inward oriented pairs:	516459
SN	outward oriented pairs:	8808
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	41	0	0	0	0	0	0	0	0	0	0	0	315	4851	4923	903	5330	3167	3934	26	0	0	0	0	0	0	0	1424	696	43	19178	24339	12390	7052	5430	45424	54549	331388	0	0
FFQ	2	0	0	54	0	0	0	0	0	0	0	0	0	0	0	129	4921	1309	285	9993	280	4656	205	0	0	0	0	0	0	0	820	559	227	16379	26665	14729	6910	4776	48628	64514	319364	0	0
FFQ	3	0	0	28	0	0	0	0	0	0	0	0	0	0	0	256	5650	3055	5076	8158	259	6626	106	0	0	0	0	0	0	0	1077	578	225	22424	23805	19895	11961	8714	44782	69360	293368	0	0
FFQ	4	0	0	69	0	0	0	0	0	0	0	0	0	0	0	47	4727	1622	4330	5154	27	934	2779	0	0	0	0	0	0	0	637	778	554	15415	25591	14329	7434	4601	49245	65166	321964	0	0
FFQ	5	0	0	10	0	0	0	0	0	0	0	0	0	0	0	163	7740	1154	6454	8989	167	2925	6287	0	0	0	0	0	0	0	694	260	116	21275	26925	19481	7468	5055	57368	67114	285758	0	0
FFQ	6	0	0	58	0	0	0	0	0	0	0	0	0	0	0	228	5589	1381	6276	3920	282	5176	112	0	0	0	0	0	0	0	189	46	86	11838	10418	12335	11994	8412	76018	73217	297828	0	0
FFQ	7	0	0	54	0	0	0	0	0	0	0	0	0	5	0	104	4996	7466	5986	791	4277	1277	48	0	0	0	0	0	0	0	31	47	217	8454	12928	14825	3369	4733	84495	74543	296757	0	0
FFQ	8	0	0	26	0	0	0	0	0	0	0	0	0	4	0	663	4854	6958	4345	4811	630	152	1	0	0	0	1	0	2	0	32	465	249	10623	12319	15307	2777	7160	80823	74367	298834	0	0
FFQ	9	0	0	30	0	0	0	0	0	0	0	0	0	3	1	817	8373	8993	2600	13048	157	163	2	0	0	0	1	0	0	0	48	90	329	8629	18224	22366	1084	4913	89406	76318	269808	0	0
FFQ	10	0	0	4	0	0	0	0	0	0	0	0	0	0	4	1408	10124	1338	8749	645	56	118	0	0	0	0	0	0	4	0	433	3583	543	22091	19824	19726	7275	18697	62543	250494	97744	0	0
FFQ	11	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1344	12708	1186	9009	310	44	64	0	0	0	0	0	0	2	0	1352	3078	135	26889	15324	18258	7053	26699	49420	204910	147613	0	0
FFQ	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	707	9346	1019	4390	3683	22	138	0	0	0	0	0	0	1	0	793	364	206	17873	26249	15848	742	5959	55053	59394	323615	0	0
FFQ	13	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1118	9134	4676	4667	2684	406	105	0	0	0	1	0	0	0	0	1	89	0	8854	11732	12858	2801	5960	50873	84031	325408	0	0
FFQ	14	0	0	1	0	0	0	0	0	0	0	0	0	2	0	5409	831	7673	4617	2347	244	2494	0	0	0	0	0	0	1	0	2	79	0	11708	9992	14415	9962	9182	46073	96462	303909	0	0
FFQ	15	0	0	2	0	0	0	0	0	0	0	0	0	3	1	757	4960	8663	414	8027	38	1780	0	0	0	0	0	2	4	0	5	51	0	5629	15850	9189	2924	10772	54481	95673	306178	0	0
FFQ	16	0	0	3	0	0	0	0	0	0	0	0	0	5	0	299	241	10306	5842	312	278	15708	0	0	0	1	1	1	1	0	2	54	1	6005	18604	4925	10570	10859	62509	97250	281626	0	0
FFQ	17	0	0	2	0	0	0	0	0	0	0	0	0	2	1	390	296	18689	632	4671	336	8216	1	0	0	0	0	8	1	0	3	67	0	5783	16334	3939	8828	14336	60276	100557	282035	0	0
FFQ	18	0	0	0	0	0	0	0	0	0	0	0	0	9	0	383	5066	10022	6060	7728	470	875	0	0	0	2	2	0	1	0	0	44	11	6850	18091	7411	3955	12966	59975	93932	291550	0	0
FFQ	19	0	0	0	0	0	0	0	0	0	0	0	0	9	2	362	6805	4350	4716	3746	295	520	1	0	0	2	0	1	2	0	3	21	7	6599	15753	7159	870	8321	52292	92072	321495	0	0
FFQ	20	0	0	0	0	0	0	0	0	0	0	0	0	9	1	634	3264	8779	3955	5701	111	1681	0	0	0	1	2	3	2	0	6	63	7	5918	14364	6420	3613	9519	53602	82195	325553	0	0
FFQ	21	0	0	1	0	0	0	0	0	0	0	0	0	8	3	4881	823	8339	3878	4244	771	1198	0	0	0	3	0	0	0	0	3	106	1	11069	11777	7751	2639	21181	49146	85385	312196	0	0
FFQ	22	0	0	2	0	0	0	0	0	0	0	0	0	6	4	3404	588	8282	2518	3702	152	2643	1	0	0	2	0	3	1	0	11	204	3	9636	11986	6355	2535	23273	67357	175349	207386	0	0
FFQ	23	0	0	3	0	0	0	0	0	0	0	0	0	6	3	14503	4159	5039	6303	2304	672	314	6	0	0	2	0	0	1	0	14	3665	5	17686	6520	13952	705	47273	37013	162695	202560	0	0
FFQ	24	0	0	2	0	0	0	0	0	0	0	0	0	9	8	7241	5321	8136	674	8899	416	440	9	0	0	1	0	0	1	0	77	1523	1	16219	15690	7002	3137	42261	54199	146727	207410	0	0
FFQ	25	0	0	2	0	0	0	0	0	0	0	0	0	4	3	4731	2606	8363	334	5313	325	386	18	0	0	3	2	4	2	0	44	2576	17	11850	12285	7643	4291	30814	49264	158087	226436	0	0
FFQ	26	0	0	1	0	0	0	0	0	0	0	0	0	14	3	7795	7326	3058	4638	598	959	228	15	0	0	0	0	2	5	0	175	7678	46	15145	5289	16942	3964	37386	39188	214210	160738	0	0
FFQ	27	0	0	3	0	0	0	0	0	0	0	0	0	12	5	9078	1545	10767	3422	7013	426	673	39	0	0	2	0	0	3	0	349	8889	29	15652	12366	15100	9378	37553	46695	206434	139970	0	0
FFQ	28	0	0	2	0	0	0	0	0	0	0	0	0	15	4	5700	1065	12769	527	7974	397	1369	33	0	0	4	0	0	1	0	162	138	44	11084	14752	8534	1275	16089	53897	81192	308328	48	0
FFQ	29	0	0	4	0	0	0	0	0	0	0	0	0	28	3	6120	1487	15169	734	5569	675	7592	23	0	0	3	0	2	73	0	599	246	60	13857	17864	6224	5228	21963	61049	79304	271662	9865	0
FFQ	30	0	0	4	0	0	0	0	0	0	0	0	0	71	5	5184	11131	7541	3763	1458	272	302	289	0	0	7	1	1	44	0	226	2794	59	20213	7289	13018	972	32575	55625	123083	239393	83	0
FFQ	31	0	0	5	0	0	0	0	0	0	0	0	0	17	14	6600	1515	12514	493	496	244	7403	2	0	0	4	1	12	35	0	371	1135	25	16175	12725	3973	8212	43021	50903	118144	231608	9756	0
FFQ	32	0	0	4	0	0	0	0	0	0	0	0	0	16	29	7866	1557	12914	392	756	516	5864	8	0	0	10	1	6	30	0	397	6135	18	14030	8250	6687	13388	42306	44512	203211	156287	213	0
FFQ	33	0	0	1	0	0	0	0	0	0	0	0	0	48	66	8341	3544	10957	982	5852	716	314	5	0	0	3	0	4	25	0	342	5117	144	15300	10211	11624	3977	47061	42205	205866	152698	0	0
FFQ	34	0	0	5	0	0	0	0	0	0	0	0	0	21	13	6085	2664	9440	513	3963	23	1034	9	0	0	8	0	4	65	3	393	4188	370	12300	9701	10779	3391	39787	40282	223016	157346	0	0
FFQ	35	0	0	2	0	0	0	0	0	0	0	0	0	56	6	5226	2847	6868	997	879	14	3295	10	0	0	7	7	9	81	4	513	3819	754	11999	6121	7849	9916	36281	37915	224190	165736	2	0
FFQ	36	0	0	6	0	0	0	0	0	0	0	0	0	106	13	7441	5835	2530	3569	225	8	2573	2	0	0	7	8	10	32	1	2099	5004	2750	7512	5792	12163	5324	30144	39024	154294	238931	0	0
FFQ	37	0	0	6	0	0	0	0	0	0	0	0	0	73	16	5159	831	4650	5196	262	2	5910	2	0	0	5	34	17	10	0	1840	3339	81	9377	8926	4726	8379	35891	57078	220285	153308	0	0
FFQ	38	0	0	3	0	0	0	0	0	0	0	0	0	27	113	8731	5910	3585	5447	340	3	4740	2	0	0	8	24	9	11	2	3218	6503	2648	6203	7504	11534	8529	37375	40550	211861	160523	0	0
