# This file was produced by samtools stats (1.21+htslib-1.21) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats ../sequenceFile/my_aln_sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	c3e4dd98	41cf85eb	bd9e76fd
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	1137588	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	1137588
SN	is sorted:	1
SN	1st fragments:	568794
SN	last fragments:	568794
SN	reads mapped:	1082130
SN	reads mapped and paired:	1080040	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	55458
SN	reads properly paired:	1074466	# proper-pair bit set
SN	reads paired:	1137588	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	6694	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	22
SN	total length:	142503748	# ignores clipping
SN	total first fragment length:	70691945	# ignores clipping
SN	total last fragment length:	71811803	# ignores clipping
SN	bases mapped:	134498798	# ignores clipping
SN	bases mapped (cigar):	128723846	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	4312280	# from NM fields
SN	error rate:	3.350024e-02	# mismatches / bases mapped (cigar)
SN	average length:	125
SN	average first fragment length:	124
SN	average last fragment length:	126
SN	maximum length:	151
SN	maximum first fragment length:	151
SN	maximum last fragment length:	151
SN	average quality:	35.3
SN	insert size average:	154.3
SN	insert size standard deviation:	34.0
SN	inward oriented pairs:	526302
SN	outward oriented pairs:	11957
SN	pairs with other orientation:	47
SN	pairs on different chromosomes:	1714
SN	percentage of properly paired reads (%):	94.5
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	48	0	0	0	0	0	0	0	0	0	0	0	339	4987	7783	922	6944	3266	3986	28	0	0	0	0	0	0	0	6058	1337	176	38143	34302	13978	7178	5503	45841	54984	332991	0	0
FFQ	2	0	0	55	0	0	0	0	0	0	0	0	0	0	0	147	5129	4364	305	11381	313	4768	213	0	0	0	0	0	0	0	4260	1484	563	34427	37954	16614	7103	4854	49126	64997	320737	0	0
FFQ	3	0	0	28	0	0	0	0	0	0	0	0	0	0	0	286	5874	5154	5157	9002	275	6699	109	0	0	0	0	0	0	0	4005	1410	596	41652	35935	21828	12204	8864	45168	70110	294438	0	0
FFQ	4	0	0	70	0	0	0	0	0	0	0	0	0	0	0	59	4927	4522	4393	6484	37	1018	2799	0	0	0	0	0	0	0	2796	1991	1211	33309	37747	16335	7643	4657	49647	65686	323463	0	0
FFQ	5	0	0	11	0	0	0	0	0	0	0	0	0	0	0	193	7991	4036	6529	10164	211	2971	6322	0	0	0	0	0	0	0	3300	1267	596	39105	39183	21534	7641	5105	57820	67681	287134	0	0
FFQ	6	0	0	58	0	0	0	0	0	0	0	0	0	0	0	260	5799	3702	6357	4816	741	5621	113	0	0	0	0	0	0	0	978	310	928	14080	14546	13976	14598	8496	100580	73667	299168	0	0
FFQ	7	0	0	55	0	0	0	0	0	0	0	0	0	6	0	132	5179	9658	6087	1509	4784	1775	49	0	0	0	0	0	0	0	634	306	1053	10783	16823	16019	6752	4798	109594	75006	297792	0	0
FFQ	8	0	0	27	0	0	0	0	0	0	0	0	0	5	0	720	5004	9261	4483	5511	1144	516	1	0	0	0	1	0	2	0	614	790	1112	13081	16663	16545	6184	7249	104867	74988	300026	0	0
FFQ	9	0	0	30	0	0	0	0	0	0	0	0	0	4	1	894	8582	11201	2778	13910	528	546	3	0	0	0	1	0	1	0	686	383	1262	10976	21794	24214	4252	5240	113770	77019	270719	0	0
FFQ	10	0	0	4	0	0	0	0	0	0	0	0	0	2	5	1509	10428	3673	9133	1637	518	517	0	0	0	0	0	0	5	0	1286	4382	1614	29658	28712	21566	10206	18937	75008	251686	98308	0	0
