PeakID (cmd=annotatePeaks.pl ../output/bam_coverage_my_aln_sorted.filtered.bam.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
238	chr16	27729307	27729326	+	0	NA	intron (NM_015202, intron 13 of 27)	LTR16C|LTR|ERVL	1034	NR_147898	100128079		NR_147898		LOC100128079	-	uncharacterized LOC100128079	ncRNA
152	chr9	681664	681670	+	0	NA	intron (NM_001354333, intron 2 of 11)	intron (NM_001354333, intron 2 of 11)	-5100	NM_001354336	23189		NM_015158	ENSG00000107104	KANK1	ANKRD15|CPSQ2|KANK	KN motif and ankyrin repeat domains 1	protein-coding
107	chr6	166892535	166892582	+	0	NA	intron (NM_001318938, intron 10 of 20)	intron (NM_001318938, intron 10 of 20)	-13687	NR_046793	100874353		NR_046793	ENSG00000232082	RPS6KA2-IT1	-	RPS6KA2 intronic transcript 1	ncRNA
226	chr14	39789268	39789287	+	0	NA	intron (NR_148721, intron 18 of 22)	intron (NR_148721, intron 18 of 22)	52688	NM_001354144	4253		NM_005930	ENSG00000150527	MIA2	CTAGE5|MEA6|MGEA|MGEA11|MGEA6|TALI	MIA SH3 domain ER export factor 2	protein-coding
299	chr17_jh159146_alt	243798	243818	+	0	NA	NA	LTR1D|LTR|ERV1	NA	NA								
223	chr12	128997468	128997610	+	0	NA	intron (NM_001136103, intron 2 of 8)	L2a|LINE|L2	218902	NR_037406	100500817		NR_037406	ENSG00000265635	MIR3612	-	microRNA 3612	ncRNA
25	chr1	108146568	108146589	+	0	NA	intron (NM_001079874, intron 5 of 9)	intron (NM_001079874, intron 5 of 9)	84543	NM_001079874	10451		NM_006113	ENSG00000134215	VAV3	-	vav guanine nucleotide exchange factor 3	protein-coding
177	chr10	91900825	91900960	+	0	NA	Intergenic	X3_LINE|LINE|RTE-BovB	-183762	NR_110655	101926924		NR_110655	ENSG00000226159	LINC01375	-	long intergenic non-protein coding RNA 1375	ncRNA
125	chr7	135874323	135874358	+	0	NA	Intergenic	Intergenic	-212233	NM_001128619	767558		NM_001128619		LUZP6	MPD6|MTPNUT	leucine zipper protein 6	unknown
254	chr18	10182077	10182129	+	0	NA	Intergenic	L1PBa1|LINE|L1	232264	NR_110775	101927350		NR_110775	ENSG00000260913	LINC01254	-	long intergenic non-protein coding RNA 1254	ncRNA
65	chr4	2062989	2063072	+	0	NA	intron (NM_178557, intron 2 of 2)	CpG-20467	1976	NM_178557	339983		NM_178557	ENSG00000185818	NAT8L	CML3|NACED|NAT8-LIKE	N-acetyltransferase 8 like	protein-coding
151	chr8	146264573	146264685	+	0	NA	Intergenic	MER70C|LTR|ERVL	-13224	NM_023080	65265		NM_023080	ENSG00000182307	C8orf33	-	chromosome 8 open reading frame 33	protein-coding
247	chr16	87167422	87167575	+	0	NA	Intergenic	MLT1C|LTR|ERVL-MaLR	76108	NR_126008	440390		NR_126008	ENSG00000232190	LINC02181	-	long intergenic non-protein coding RNA 2181	ncRNA
73	chr4	66674629	66674835	+	0	NA	Intergenic	HERVL-int|LTR|ERVL	-138519	NM_001281766	2044		NM_004439	ENSG00000145242	EPHA5	CEK7|EHK-1|EHK1|EK7|HEK7|TYRO4	EPH receptor A5	protein-coding
212	chr12	50336852	50336949	+	0	NA	Intergenic	Intergenic	-7620	NM_000486	359		NM_000486	ENSG00000167580	AQP2	AQP-CD|NDI2|WCH-CD	aquaporin 2	protein-coding
45	chr2	121589281	121589300	+	0	NA	intron (NM_001374354, intron 2 of 12)	intron (NM_001374354, intron 2 of 12)	39433	NM_005270	2736		NM_005270	ENSG00000074047	GLI2	CJS|HPE9|PHS2|THP1|THP2	GLI family zinc finger 2	protein-coding
262	chr20	23304807	23304886	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	-26582	NM_013248	29107		NM_013248	ENSG00000132661	NXT1	MTR2|P15	nuclear transport factor 2 like export factor 1	protein-coding
93	chr6	3439924	3440201	+	0	NA	intron (NM_021945, intron 1 of 10)	intron (NM_021945, intron 1 of 10)	5185	NM_001286455	63027		NM_015482	ENSG00000137266	SLC22A23	C6orf85	solute carrier family 22 member 23	protein-coding
261	chr20	5474419	5474563	+	0	NA	Intergenic	Intergenic	10751	NR_015406	149837		NR_015406	ENSG00000205181	LINC00654	-	long intergenic non-protein coding RNA 654	ncRNA
139	chr8	1397755	1397928	+	0	NA	intron (NM_001346810, intron 3 of 14)	intron (NM_001346810, intron 3 of 14)	-147018	NR_111948	286083		NR_033895	ENSG00000275427	LOC286083	-	uncharacterized LOC286083	ncRNA
164	chr10	2112649	2112833	+	0	NA	Intergenic	L1M4b|LINE|L1	5542	NR_106720	102465944		NR_106720	ENSG00000278069	MIR6072	hsa-mir-6072	microRNA 6072	ncRNA
11	chr1	26608018	26608037	+	0	NA	TTS (NM_183008)	TTS (NM_183008)	1450	NM_031286	83442		NM_031286	ENSG00000142669	SH3BGRL3	HEL-S-297|SH3BP-1|TIP-B1	SH3 domain binding glutamate rich protein like 3	protein-coding
211	chr12	31133609	31133629	+	0	NA	intron (NM_001080509, intron 5 of 7)	intron (NM_001080509, intron 5 of 7)	53781	NM_001370301	441631		NM_001080509	ENSG00000110900	TSPAN11	VSSW1971	tetraspanin 11	protein-coding
198	chr11	72994754	72994865	+	0	NA	intron (NM_001277207, intron 2 of 2)	intron (NM_001277207, intron 2 of 2)	11426	NM_001277204	5031		NM_004154	ENSG00000171631	P2RY6	P2Y6	pyrimidinergic receptor P2Y6	protein-coding
16	chr1	39286556	39286799	+	0	NA	Intergenic	Intergenic	38767	NM_022157	64121		NM_022157	ENSG00000116954	RRAGC	GTR2|LNGODS|LNGOS|RAGC|TIB929	Ras related GTP binding C	protein-coding
114	chr7	36254169	36254212	+	0	NA	intron (NM_030636, intron 2 of 7)	MER5A|DNA|hAT-Charlie	61327	NM_030636	80820		NM_030636	ENSG00000122547	EEPD1	HSPC107	endonuclease/exonuclease/phosphatase family domain containing 1	protein-coding
222	chr12	128997305	128997445	+	0	NA	intron (NM_001136103, intron 2 of 8)	intron (NM_001136103, intron 2 of 8)	218738	NR_037406	100500817		NR_037406	ENSG00000265635	MIR3612	-	microRNA 3612	ncRNA
153	chr9	681671	681733	+	0	NA	intron (NM_001354333, intron 2 of 11)	intron (NM_001354333, intron 2 of 11)	-5065	NM_001354336	23189		NM_015158	ENSG00000107104	KANK1	ANKRD15|CPSQ2|KANK	KN motif and ankyrin repeat domains 1	protein-coding
156	chr9	34962676	34962816	+	0	NA	intron (NM_015297, intron 1 of 7)	intron (NM_015297, intron 1 of 7)	4464	NR_136308	23349		NM_015297	ENSG00000122733	PHF24	GINIP	PHD finger protein 24	protein-coding
98	chr6	40526932	40527074	+	0	NA	intron (NM_020737, intron 1 of 2)	intron (NM_020737, intron 1 of 2)	28100	NM_020737	57497		NM_020737	ENSG00000156564	LRFN2	FIGLER2|KIAA1246|SALM1	leucine rich repeat and fibronectin type III domain containing 2	protein-coding
189	chr11	2414118	2414228	+	0	NA	intron (NM_001297649, intron 2 of 7)	intron (NM_001297649, intron 2 of 7)	-7807	NM_001297661	10078		NM_005706	ENSG00000184281	TSSC4	-	tumor suppressing subtransferable candidate 4	protein-coding
55	chr2	240866397	240866428	+	0	NA	intron (NR_136158, intron 7 of 10)	THE1B|LTR|ERVL-MaLR	16099	NR_039949	100616417		NR_039949	ENSG00000264279	MIR4786	mir-4786	microRNA 4786	ncRNA
255	chr18	34931329	34931369	+	0	NA	intron (NR_148520, intron 2 of 13)	intron (NR_148520, intron 2 of 13)	76926	NR_134588	105372068		NR_134588	ENSG00000267202	LOC105372068	-	uncharacterized LOC105372068	ncRNA
12	chr1	30546222	30546497	+	0	NA	Intergenic	MIRb|SINE|MIR	-35900	NR_110790	101929406		NR_110790	ENSG00000233399	LINC01648	-	long intergenic non-protein coding RNA 1648	ncRNA
78	chr4	139744347	139744504	+	0	NA	intron (NR_133945, intron 2 of 2)	intron (NR_133945, intron 2 of 2)	189375	NR_133945	105377448		NR_133945	ENSG00000250195	LOC105377448	-	uncharacterized LOC105377448	ncRNA
221	chr12	120053729	120053845	+	0	NA	intron (NM_001136534, intron 1 of 2)	intron (NM_001136534, intron 1 of 2)	22208	NM_001136534	387890		NM_001136534	ENSG00000224982	TMEM233	DSPB2|IFITMD2	transmembrane protein 233	protein-coding
124	chr7	129945984	129946111	+	0	NA	intron (NM_016352, intron 6 of 10)	intron (NM_016352, intron 6 of 10)	13046	NM_016352	51200		NM_016352	ENSG00000128510	CPA4	CPA3	carboxypeptidase A4	protein-coding
8	chr1	18049689	18049797	+	0	NA	Intergenic	Intergenic	-32085	NM_030812	81569		NM_030812	ENSG00000117148	ACTL8	CT57	actin like 8	protein-coding
266	chr20	62204697	62204841	+	0	NA	intron (NM_001037335, intron 1 of 19)	intron (NM_001037335, intron 1 of 19)	823	NM_001037335	85441		NM_033405	ENSG00000130589	HELZ2	PDIP-1|PRIC285	helicase with zinc finger 2	protein-coding
263	chr20	37174927	37175156	+	0	NA	exon (NM_020336, exon 19 of 30)	exon (NM_020336, exon 19 of 30)	29835	NR_039605	100616190		NR_039605	ENSG00000275453	MIR548O2	-	microRNA 548o-2	ncRNA
213	chr12	52292533	52292668	+	0	NA	Intergenic	Intergenic	-8688	NM_000020	94		NM_000020	ENSG00000139567	ACVRL1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	activin A receptor like type 1	protein-coding
216	chr12	65298407	65298548	+	0	NA	intron (NR_033988, intron 2 of 2)	intron (NR_033988, intron 2 of 2)	20923	NR_033988	400046		NR_033988	ENSG00000255693	LINC02389	-	long intergenic non-protein coding RNA 2389	ncRNA
115	chr7	51460048	51460127	+	0	NA	TTS (NR_157843)	TTS (NR_157843)	866	NR_157843	107986794		NR_157843		LOC107986794	-	uncharacterized LOC107986794	ncRNA
